location_name,state,activations
Baw Baw,Victoria,52
Yarra Ranges,Victoria,48
East Gippsland,Victoria,43
Mid-Coast,New South Wales,41
Wellington,Victoria,41
South Gippsland,Victoria,40
Clarence Valley,New South Wales,38
Port Macquarie-Hastings,New South Wales,33
Cook,Queensland,32
Kempsey,New South Wales,31
Upper Hunter,New South Wales,30
Latrobe (Vic.),Victoria,30
Macedon Ranges,Victoria,30
Carpentaria,Queensland,29
Central Coast (NSW),New South Wales,28
Muswellbrook,New South Wales,28
Bega Valley,New South Wales,27
Lismore,New South Wales,27
Narrabri,New South Wales,27
Tablelands,Queensland,27
Townsville,Queensland,27
Shoalhaven,New South Wales,26
Tenterfield,New South Wales,26
Wingecarribee,New South Wales,26
Murrindindi,Victoria,26
Barcoo,Queensland,26
Armidale,New South Wales,25
Lithgow,New South Wales,25
Nambucca Valley,New South Wales,25
Singleton,New South Wales,25
